日期,更新时间,星期,城市,天气,当日温度区间,当前温度,最高温度,最低温度,湿度,pm2.5,气象图标,风向,风力
2021-11-18,13:14:20,星期四,湖里,多云转晴,23℃/18℃,20℃,23,18,74%,5,http://api.k780.com/upload/weather/d/1.gif,东北风,2级
2021-11-18,12:01:29,星期四,湖里,多云,22℃/17℃,20℃,22,17,80%,49,http://api.k780.com/upload/weather/d/1.gif,西南风,5级
2021-11-18,11:04:54,星期四,湖里,多云,22℃/17℃,19℃,22,17,81%,10,http://api.k780.com/upload/weather/d/1.gif,东北风,2级
2021-11-18,10:20:10,星期四,湖里,多云,22℃/17℃,19℃,22,17,81%,10,http://api.k780.com/upload/weather/d/1.gif,东北风,2级
2021-11-18,09:47:39,星期四,湖里,多云,22℃/17℃,19℃,22,17,86%,39,http://api.k780.com/upload/weather/d/1.gif,东南风,2级
2021-11-18,08:19:53,星期四,湖里,多云,22℃/17℃,18℃,22,17,85%,13,http://api.k780.com/upload/weather/d/1.gif,东风,2级
2021-11-18,07:03:53,星期四,湖里,多云转晴,23℃/18℃,18℃,23,18,84%,11,http://api.k780.com/upload/weather/d/1.gif,西南风,2级
2021-11-18,06:04:22,星期四,湖里,多云,22℃/17℃,18℃,22,17,86%,47,http://api.k780.com/upload/weather/d/1.gif,南风,2级
2021-11-18,05:02:58,星期四,湖里,多云,22℃/17℃,18℃,22,17,88%,11,http://api.k780.com/upload/weather/d/1.gif,北风,1级
2021-11-18,04:05:33,星期四,湖里,多云,22℃/17℃,19℃,22,17,88%,38,http://api.k780.com/upload/weather/d/1.gif,西风,1级
2021-11-18,03:03:42,星期四,湖里,多云,22℃/17℃,19℃,22,17,88%,12,http://api.k780.com/upload/weather/d/1.gif,南风,1级
2021-11-18,02:04:38,星期四,湖里,多云,22℃/17℃,19℃,22,17,80%,14,http://api.k780.com/upload/weather/d/1.gif,东风,1级
2021-11-18,01:09:41,星期四,湖里,多云,22℃/17℃,19℃,22,17,80%,14,http://api.k780.com/upload/weather/d/1.gif,东风,1级
2021-11-18,00:06:48,星期四,湖里,多云,22℃/17℃,19℃,22,17,83%,15,http://api.k780.com/upload/weather/d/1.gif,北风,1级
2021-11-17,23:04:32,星期三,湖里,小雨,18℃/18℃,19℃,18,18,83%,15,http://api.k780.com/upload/weather/d/1.gif,北风,1级
2021-11-17,22:03:59,星期三,湖里,小雨,18℃/18℃,19℃,18,18,82%,16,http://api.k780.com/upload/weather/d/1.gif,东北风,1级
2021-11-17,21:13:23,星期三,湖里,小雨,18℃/18℃,19℃,18,18,82%,16,http://api.k780.com/upload/weather/d/1.gif,东北风,1级
2021-11-17,20:07:56,星期三,湖里,小雨,18℃/18℃,20℃,18,18,78%,15,http://api.k780.com/upload/weather/d/1.gif,东北风,1级
2021-11-17,19:03:26,星期三,湖里,多云转小雨,23℃/19℃,20℃,23,19,78%,15,http://api.k780.com/upload/weather/d/1.gif,东北风,1级
2021-11-17,18:17:55,星期三,湖里,多云转小雨,23℃/19℃,20℃,23,19,78%,15,http://api.k780.com/upload/weather/d/1.gif,东北风,1级
